Month,DayOfWeek,DepHour,IsWeekend,Distance,IsDelayed,Airline_Encoded,Origin_Encoded
7,1,15,0,820.0,1,20,23
5,3,11,0,322.0,0,5,5
7,7,7,1,630.0,0,9,23
4,4,10,0,1133.0,0,1,25
2,2,15,0,185.0,0,18,4
5,6,15,1,1590.0,0,18,23
2,2,9,0,251.0,0,18,23
5,4,16,0,1978.0,0,1,2
5,5,10,1,227.0,0,8,0
7,3,20,0,318.0,0,16,23
5,6,14,1,985.0,0,3,8
7,1,8,0,590.0,0,3,23
7,2,17,0,420.0,0,20,7
5,4,11,0,290.0,0,17,23
4,1,22,0,689.0,0,7,29
4,4,21,0,258.0,0,3,22
2,3,11,0,1182.0,0,18,20
7,6,13,1,1616.0,1,3,23
7,4,10,0,1057.0,1,18,11
7,3,9,0,833.0,0,17,25
7,1,17,0,1113.0,0,8,14
7,7,20,1,282.0,0,5,5
7,7,7,1,489.0,0,17,9
7,4,15,0,102.0,1,12,23
7,7,10,1,463.0,0,9,22
2,2,8,0,1142.0,0,18,23
4,7,20,1,161.0,0,9,22
2,1,11,0,1372.0,1,20,8
4,6,11,1,328.0,0,5,5
2,4,22,0,391.0,1,10,7
5,7,9,1,130.0,0,3,5
2,7,14,1,213.0,0,13,27
2,7,7,1,754.0,0,9,23
7,5,8,1,733.0,0,15,23
5,3,5,0,862.0,0,20,16
2,2,18,0,937.0,0,14,10
7,1,21,0,349.0,0,17,9
4,1,15,0,311.0,1,17,9
7,4,21,0,621.0,1,18,25
4,6,19,1,84.0,0,17,22
7,5,14,1,2614.0,0,1,23
7,7,21,1,282.0,0,17,21
4,6,15,1,287.0,0,8,23
7,3,12,0,603.0,0,9,23
4,7,20,1,373.0,0,18,23
5,6,8,1,406.0,0,5,23
7,4,6,0,223.0,0,10,15
7,5,7,1,925.0,1,20,13
7,2,12,0,629.0,1,18,23
5,3,14,0,390.0,0,18,23
5,4,14,0,130.0,0,3,5
7,4,15,0,804.0,1,18,23
7,6,19,1,268.0,0,16,24
7,3,18,0,226.0,0,18,15
4,4,12,0,1558.0,0,18,24
5,4,15,0,550.0,1,1,28
7,1,5,0,1167.0,0,19,23
5,2,22,0,1189.0,0,19,23
5,4,12,0,325.0,0,6,12
4,4,10,0,819.0,0,10,7
4,4,11,0,404.0,0,19,23
4,7,17,1,547.0,0,3,5
5,3,11,0,1965.0,0,7,27
